name,id,followers.total,popularity,genres
ATL,2n6CVwo43YvjiTgcPxYWrf,371379,51,
Husky,2nAUHbKI7TZShUwFpk6G08,275624,49,
Thomas Mraz,7HeYTVt0Fg6lYEpmoeP67s,167525,43,
LSP,4h8pGxEIOi7j4me1yhYxlD,823237,57,
Mnogoznaal,16ZNqMkDZrzd8fTXeN2kUH,244327,50,
Krovostok,0ksNNF08VvPbHDXN06mrYa,333956,50,
43ai,3OB2b7f1bshKrPO0qlr5wq,5910,30,
Luperkal,5G53eR8mz7YH7Khmk5dz1Y,31398,29,
Markul,3Vfd5HJnhjnvdyuQYHtYa2,340486,56,
Skryptonite,3vvLuXEEf7sl3izJcw0GIn,1896080,64,
Proyekt Uvechye,3hBWcai5p0tR0LsSs5wCQ8,19438,24,
Garry Topor,3YB9ZmKFFgzABIXQUFj4ao,41543,36,
Max Korzh,5meD8C7oGK5yUEY2T7ZZ7W,1709149,60,
Tony Raut,4YnKu09qC1HfJiiV1jBjtE,71848,44,
JEEMBO,3IwaLzOzILWyMzjXFWiDbW,176530,48,
Bumble Beezy,1z14BkmVmnaAEFLUe0VeRc,89715,34,
Anacondaz,2e7yDxnK4osy7nKhnqrOFM,133347,47,
OBLADAET,1hwKCeSXpLrh4OQND6iQHw,344923,54,
Truwer,4DCHl7YS8J9pe2THEUvarN,209209,50,
Noize MC,69v4ZOOomf1TNp59YYB1j7,348252,53,
