genres,href,id,images,name,popularity,type,uri,external_urls.spotify,followers.href,followers.total
,https://api.spotify.com/v1/artists/4h8pGxEIOi7j4me1yhYxlD,4h8pGxEIOi7j4me1yhYxlD,,LSP,57,artist,spotify:artist:4h8pGxEIOi7j4me1yhYxlD,https://open.spotify.com/artist/4h8pGxEIOi7j4me1yhYxlD,NA,825144
,https://api.spotify.com/v1/artists/2n6CVwo43YvjiTgcPxYWrf,2n6CVwo43YvjiTgcPxYWrf,,ATL,51,artist,spotify:artist:2n6CVwo43YvjiTgcPxYWrf,https://open.spotify.com/artist/2n6CVwo43YvjiTgcPxYWrf,NA,372110
,https://api.spotify.com/v1/artists/7yNqUSyJGymfJQghNU0zcH,7yNqUSyJGymfJQghNU0zcH,,Грибы,46,artist,spotify:artist:7yNqUSyJGymfJQghNU0zcH,https://open.spotify.com/artist/7yNqUSyJGymfJQghNU0zcH,NA,131794
,https://api.spotify.com/v1/artists/01lZudgXsojt5TBHuygB8r,01lZudgXsojt5TBHuygB8r,,T-Fest,53,artist,spotify:artist:01lZudgXsojt5TBHuygB8r,https://open.spotify.com/artist/01lZudgXsojt5TBHuygB8r,NA,646105
,https://api.spotify.com/v1/artists/3vvLuXEEf7sl3izJcw0GIn,3vvLuXEEf7sl3izJcw0GIn,,Skryptonite,65,artist,spotify:artist:3vvLuXEEf7sl3izJcw0GIn,https://open.spotify.com/artist/3vvLuXEEf7sl3izJcw0GIn,NA,1902656
,https://api.spotify.com/v1/artists/4DCHl7YS8J9pe2THEUvarN,4DCHl7YS8J9pe2THEUvarN,,Truwer,50,artist,spotify:artist:4DCHl7YS8J9pe2THEUvarN,https://open.spotify.com/artist/4DCHl7YS8J9pe2THEUvarN,NA,209888
,https://api.spotify.com/v1/artists/7HeYTVt0Fg6lYEpmoeP67s,7HeYTVt0Fg6lYEpmoeP67s,,Thomas Mraz,43,artist,spotify:artist:7HeYTVt0Fg6lYEpmoeP67s,https://open.spotify.com/artist/7HeYTVt0Fg6lYEpmoeP67s,NA,167830
,https://api.spotify.com/v1/artists/16ZNqMkDZrzd8fTXeN2kUH,16ZNqMkDZrzd8fTXeN2kUH,,Mnogoznaal,49,artist,spotify:artist:16ZNqMkDZrzd8fTXeN2kUH,https://open.spotify.com/artist/16ZNqMkDZrzd8fTXeN2kUH,NA,244725
,https://api.spotify.com/v1/artists/2z20q6EEfm6w6PiIKsgtb3,2z20q6EEfm6w6PiIKsgtb3,,FACE,61,artist,spotify:artist:2z20q6EEfm6w6PiIKsgtb3,https://open.spotify.com/artist/2z20q6EEfm6w6PiIKsgtb3,NA,966479
,https://api.spotify.com/v1/artists/0Cm90jv892OeEegB3ELmvN,0Cm90jv892OeEegB3ELmvN,,Eldzhey,58,artist,spotify:artist:0Cm90jv892OeEegB3ELmvN,https://open.spotify.com/artist/0Cm90jv892OeEegB3ELmvN,NA,565198
,https://api.spotify.com/v1/artists/3Vfd5HJnhjnvdyuQYHtYa2,3Vfd5HJnhjnvdyuQYHtYa2,,Markul,56,artist,spotify:artist:3Vfd5HJnhjnvdyuQYHtYa2,https://open.spotify.com/artist/3Vfd5HJnhjnvdyuQYHtYa2,NA,341099
,https://api.spotify.com/v1/artists/0x9j5hqljRaIIGjDSmsLT0,0x9j5hqljRaIIGjDSmsLT0,,L'One,42,artist,spotify:artist:0x9j5hqljRaIIGjDSmsLT0,https://open.spotify.com/artist/0x9j5hqljRaIIGjDSmsLT0,NA,269197
,https://api.spotify.com/v1/artists/1gCOYbJNUa1LBVO5rlx0jB,1gCOYbJNUa1LBVO5rlx0jB,,Oxxxymiron,57,artist,spotify:artist:1gCOYbJNUa1LBVO5rlx0jB,https://open.spotify.com/artist/1gCOYbJNUa1LBVO5rlx0jB,NA,535912
,https://api.spotify.com/v1/artists/1hwKCeSXpLrh4OQND6iQHw,1hwKCeSXpLrh4OQND6iQHw,,OBLADAET,53,artist,spotify:artist:1hwKCeSXpLrh4OQND6iQHw,https://open.spotify.com/artist/1hwKCeSXpLrh4OQND6iQHw,NA,345818
,https://api.spotify.com/v1/artists/4QwXKmGPo7GsU3N8LJykki,4QwXKmGPo7GsU3N8LJykki,,Pika,45,artist,spotify:artist:4QwXKmGPo7GsU3N8LJykki,https://open.spotify.com/artist/4QwXKmGPo7GsU3N8LJykki,NA,45246
,https://api.spotify.com/v1/artists/6L5bLEtpxwd0KOdOr3gtW4,6L5bLEtpxwd0KOdOr3gtW4,,MiyaGi & Endspiel,63,artist,spotify:artist:6L5bLEtpxwd0KOdOr3gtW4,https://open.spotify.com/artist/6L5bLEtpxwd0KOdOr3gtW4,NA,1963092
,https://api.spotify.com/v1/artists/7as5DY4Rz9jac9tgoTrj9H,7as5DY4Rz9jac9tgoTrj9H,,Basta,56,artist,spotify:artist:7as5DY4Rz9jac9tgoTrj9H,https://open.spotify.com/artist/7as5DY4Rz9jac9tgoTrj9H,NA,1038545
,https://api.spotify.com/v1/artists/2nAUHbKI7TZShUwFpk6G08,2nAUHbKI7TZShUwFpk6G08,,Husky,49,artist,spotify:artist:2nAUHbKI7TZShUwFpk6G08,https://open.spotify.com/artist/2nAUHbKI7TZShUwFpk6G08,NA,276173
,https://api.spotify.com/v1/artists/7oxIi3tF8bOBxAcSixbojj,7oxIi3tF8bOBxAcSixbojj,,Dzharakhov,45,artist,spotify:artist:7oxIi3tF8bOBxAcSixbojj,https://open.spotify.com/artist/7oxIi3tF8bOBxAcSixbojj,NA,168544
,https://api.spotify.com/v1/artists/5UmEsxALI1S6DSz5CGs0Sc,5UmEsxALI1S6DSz5CGs0Sc,,PIZZA,47,artist,spotify:artist:5UmEsxALI1S6DSz5CGs0Sc,https://open.spotify.com/artist/5UmEsxALI1S6DSz5CGs0Sc,NA,164825
