name,id,followers.total,popularity,genres
ATL,2n6CVwo43YvjiTgcPxYWrf,371379,51,
LSP,4h8pGxEIOi7j4me1yhYxlD,823237,57,
Thomas Mraz,7HeYTVt0Fg6lYEpmoeP67s,167525,43,
Truwer,4DCHl7YS8J9pe2THEUvarN,209209,50,
T-Fest,01lZudgXsojt5TBHuygB8r,644709,53,
Yanix,7gmUEqRjXK144s5jQMVc8c,355227,54,
OBLADAET,1hwKCeSXpLrh4OQND6iQHw,344923,54,
kizaru,5NipqMGsY4AUeb7kGT8aVz,1134701,62,
FACE,2z20q6EEfm6w6PiIKsgtb3,962473,62,
Husky,2nAUHbKI7TZShUwFpk6G08,275624,49,
Markul,3Vfd5HJnhjnvdyuQYHtYa2,340486,56,
Mnogoznaal,16ZNqMkDZrzd8fTXeN2kUH,244327,50,
Max Korzh,5meD8C7oGK5yUEY2T7ZZ7W,1709149,60,
V $ X V PRiNCE,43cTNOHTq4t7YzHyttQxNf,380693,55,
JEEMBO,3IwaLzOzILWyMzjXFWiDbW,176530,48,
Pika,4QwXKmGPo7GsU3N8LJykki,44799,46,
Big Baby Tape,5NMwoStnfHT4LdETlJSwDT,1057594,61,
JILLZAY,4czIzL9okaRTTUoI8KFB9v,87993,41,
Oxxxymiron,1gCOYbJNUa1LBVO5rlx0jB,535067,58,
M'Dee,3misL6JBwo2ozOQh3OTDPw,98264,44,
