name,id,followers.total,popularity,genres
LSP,4h8pGxEIOi7j4me1yhYxlD,823237,57,NA
ATL,2n6CVwo43YvjiTgcPxYWrf,371379,51,NA
Грибы,7yNqUSyJGymfJQghNU0zcH,131375,46,NA
T-Fest,01lZudgXsojt5TBHuygB8r,644709,53,NA
Skryptonite,3vvLuXEEf7sl3izJcw0GIn,1896080,64,NA
Truwer,4DCHl7YS8J9pe2THEUvarN,209209,50,NA
Thomas Mraz,7HeYTVt0Fg6lYEpmoeP67s,167525,43,NA
Mnogoznaal,16ZNqMkDZrzd8fTXeN2kUH,244327,50,NA
FACE,2z20q6EEfm6w6PiIKsgtb3,962473,62,NA
Markul,3Vfd5HJnhjnvdyuQYHtYa2,340486,56,NA
Eldzhey,0Cm90jv892OeEegB3ELmvN,564171,58,NA
L'One,0x9j5hqljRaIIGjDSmsLT0,268742,43,NA
Oxxxymiron,1gCOYbJNUa1LBVO5rlx0jB,535067,58,NA
OBLADAET,1hwKCeSXpLrh4OQND6iQHw,344923,54,NA
Pika,4QwXKmGPo7GsU3N8LJykki,44799,46,NA
Basta,7as5DY4Rz9jac9tgoTrj9H,1035449,56,NA
Husky,2nAUHbKI7TZShUwFpk6G08,275624,49,NA
MiyaGi & Endspiel,6L5bLEtpxwd0KOdOr3gtW4,1955767,63,NA
Dzharakhov,7oxIi3tF8bOBxAcSixbojj,168336,45,NA
PIZZA,5UmEsxALI1S6DSz5CGs0Sc,164385,47,NA
